Date Added,Name,Length (ft),Range (nm),Endurance (days),Seastate,Top Speed (kts),Payload (lbs),Propulsion,Aux Propulsion,Company,Source,Google Link
11/24/25,Spyglass,6,30,,,20,40,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Cutlass,14,300,,,20,200,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Corsair,24,"1,000",,,35,1000,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Mirage,40,"2,000",,,35,2000,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Cipher,60,"3,000",,,35,10000,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Marauder,150,"3,500",,,18,88184.9,,,Saronic Technologies,https://www.saronic.com/vessels,
11/24/25,Rampage,14,150,,,15,300,Electric,,HavocAI,https://www.havocai.com/maritime-systems,
11/24/25,Kaikoa,42,,,,40,3640,,,HavocAI,https://www.havocai.com/maritime-systems,
11/24/25,Atlas,100,7440,,,25,35840,,,HavocAI,https://www.havocai.com/maritime-systems,
11/24/25,-Unamed-,150,,,,,,,,Blue Water Autonomy,,
11/24/25,GARC,16,1600,,5,40,1000,Diesel,,BlackSea Tech/MAPC,https://www.blacksea.tech/garc,http://drive.google.com/file/d/1hN3_-R1Iq3OzahsAVPRk5MfPwmU7DFtE/view
11/24/25,Surveyor,65,,100,,6,,Wind (Sail),Diesel,Saildrone,https://www.saildrone.com/technology/vehicles,https://drive.google.com/file/d/1AfGfNzSEH-xZckoE7X4wRwhHcIion_6J/view
11/24/25,Voyager,33,,100,,5,,Wind (Sail),Eletric,Saildrone,https://www.saildrone.com/technology/vehicles,https://drive.google.com/file/d/19j3znGRFVdq4RYh_cY-xOTHDkcLQ-3hk/view
11/24/25,Explorer,23,Unlimited,365,,3,,Wind (Sail),,Saildrone,https://www.saildrone.com/technology/vehicles,https://drive.google.com/file/d/1kyOJT3LezW3pskZnaEYqTBllW85ykIIe/view
11/24/25,Lightfish,11,,180,6,4,,Electric,,Seasats,https://seasats.com/the-lightfish/,https://drive.google.com/file/d/1vtsXFyIRkAObikCt2IKa2Sj24dtC5pyQ/view
11/24/25,Quickfish,17,400,,6,34,600,Gas or Diesel,,Seasats,https://seasats.com/the-quickfish/,https://drive.google.com/file/d/1jo0g2eK7igNLfvzyfynJQy0VKlzusiWS/view
11/24/25,CUSV,39,1200,,4,35,,,,Textron Systems,https://www.naval-technology.com/projects/fleet-class-common-unmanned-surface-vessel-cusv/,
11/24/25,TSUNAMI 21,24,1000,,4,40,2800,Gas or Diesel,,Textron Systems,https://www.textronsystems.com/products/tsunami,https://drive.google.com/file/d/1_EvspRtSK1mUdSIXt4gNitKM6Kv6kNXr/view
11/24/25,TSUNAMI 25,25,1000,,4,40,3642,Gas or Diesel,,Textron Systems,https://www.textronsystems.com/products/tsunami,https://drive.google.com/file/d/1_EvspRtSK1mUdSIXt4gNitKM6Kv6kNXr/view
11/24/25,U-Ranger MH,36,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/uncrewed-surface-vehicles-usvs,
11/24/25,U-Ranger MS,23,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/uncrewed-surface-vehicles-usvs,
11/24/25,MiniRanger,16,10,0.25,,18,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/uncrewed-surface-vehicles-usvs,
11/24/25,C-Worker 15,49,,21,,12,22046.2,Diesel,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/c-worker-15-uncrewed-surface-vehicle,https://drive.google.com/file/d/1LeZsOMQJdiqn277MQLkdBv4Z14m0AOQq/view
11/24/25,C-Worker 24,78,,40,,10,154324,Diesel,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/c-worker-24-uncrewed-surface-vehicle,https://drive.google.com/file/d/17rYxbKraiDduoh5wONnJu6NopSuSk4QE/view
11/24/25,Shadow Fox ASV,42,,,,40,4140,Gas,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/shadow-fox-autonomous-surface-vehicle,https://drive.google.com/file/u/1/d/1B8kjQx4ByjZN-Y4xN99AenDzalZ0hXIq/view?usp=drive_open
11/24/25,C-Target 13 ASV,,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/c-target-13-asv,
11/24/25,C-Target 9 ASV,,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/c-target-9-asv,
11/24/25,C-Target 6 ASV,,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/c-target-6-asv,
11/24/25,Polecat ASV,,,,,,,,,L3Harris Technologies,https://www.l3harris.com/all-capabilities/polecat-autonomous-surface-vehicle,
11/24/25,Romulus,190,2500,,,25,,,,Huntington Ingalls Industries,https://hii.com/product/romulus-usvs/,
11/24/25,VANGUARD (OUSV3),,,,,,,,,Austal USA,https://www.austal.com/ships/autonomous-ships,
11/24/25,Vantage 25,82,1200,,,20,55115,Diesel,,Austal USA,https://www.austal.com/ships/autonomous-ships,https://drive.google.com/file/d/1SUeFNmuXMw0XkZ-zDsjIPGdTf5hzHYAA/view
11/24/25,Vantage 55,180,6000,,,25,220462,Diesel-Electric,,Austal USA,https://www.austal.com/ships/autonomous-ships,https://drive.google.com/file/d/1SUeFNmuXMw0XkZ-zDsjIPGdTf5hzHYAA/view
11/24/25,EPF13,,,,,,,,,Austal USA,https://www.austal.com/ships/autonomous-ships,
11/24/25,Sea Archer,37,1500,,,40,2000,Diesel,,Leidos,https://www.leidos.com/capabilities/integrated-systems/autonomy-and-autonomous-solutions,
11/24/25,Sea Ranger,,34000,,,,,,,Leidos,https://www.leidos.com/capabilities/integrated-systems/autonomy-and-autonomous-solutions,
11/24/25,Sea Specter,65,2200,,,,10200,Diesel,,Leidos,https://www.leidos.com/capabilities/integrated-systems/autonomy-and-autonomous-solutions,
11/24/25,Sea Hunter,132,10000,90,,27,,Diesel,,Leidos,https://www.leidos.com/capabilities/integrated-systems/autonomy-and-autonomous-solutions,
11/24/25,Variant 7,,,,,,,,,Blue Ops (Red Cat Holdings),https://blueops.com/usv-solutions/variant7/,
11/24/25,Selkie,23,400,30,,30,660,Diesel,,Sea Machines Robotics,https://sea-machines.com/selkie/,https://drive.google.com/file/d/11ElmPE_DZSLDNQJJcwLs6H5OT9LNq25s/view
